id_ipc_division;valor_ipc_division;id_division;id_periodo;id_region
NULL;0.4;6;60;2
NULL;4.9;6;61;2
NULL;3.1;6;62;2
NULL;5.5;6;63;2
NULL;6.2;6;64;2
NULL;6.1;6;65;2
NULL;1.8;7;1;2
NULL;1.8;7;2;2
NULL;1;7;3;2
NULL;0.5;7;4;2
NULL;1.1;7;5;2
NULL;0.3;7;6;2
NULL;1.4;7;7;2
NULL;1.1;7;8;2
NULL;0.9;7;9;2
NULL;0.8;7;10;2
NULL;2.7;7;11;2
NULL;2.9;7;12;2
NULL;2.1;7;13;2
NULL;4.5;7;14;2
NULL;1.3;7;15;2
NULL;5.3;7;16;2
NULL;2;7;17;2
NULL;6.5;7;18;2
NULL;4.3;7;19;2
NULL;3.3;7;20;2
NULL;10.6;7;21;2
NULL;7.1;7;22;2
NULL;3;7;23;2
NULL;3.1;7;24;2
NULL;3.3;7;25;2
NULL;2.6;7;26;2
NULL;4.3;7;27;2
NULL;3.9;7;28;2
NULL;2.9;7;29;2
NULL;2;7;30;2
NULL;0;7;31;2
NULL;4.2;7;32;2
NULL;4.5;7;33;2
NULL;2.5;7;34;2
NULL;3.7;7;35;2
NULL;4.4;7;36;2
NULL;0.8;7;37;2
NULL;1.4;7;38;2
NULL;2.2;7;39;2
NULL;1.9;7;40;2
NULL;0.2;7;41;2
NULL;1.9;7;42;2
NULL;1.8;7;43;2
NULL;2.8;7;44;2
NULL;3.4;7;45;2
NULL;4.1;7;46;2
NULL;4.1;7;47;2
NULL;5;7;48;2
NULL;2.9;7;49;2
NULL;4.8;7;50;2
NULL;3.7;7;51;2
NULL;5.1;7;52;2
NULL;6.3;7;53;2
NULL;3.3;7;54;2
NULL;1.5;7;55;2
NULL;2.3;7;56;2
NULL;3.7;7;57;2
NULL;3.2;7;58;2
NULL;1.7;7;59;2
NULL;6.7;7;60;2
NULL;2;7;61;2
NULL;4.1;7;62;2
NULL;5;7;63;2
NULL;6;7;64;2
NULL;5.4;7;65;2
NULL;3.8;8;1;2
NULL;4.1;8;2;2
NULL;2.4;8;3;2
NULL;6.8;8;4;2
NULL;0;8;5;2
NULL;1.9;8;6;2
NULL;0.5;8;7;2
NULL;1.9;8;8;2
NULL;0.9;8;9;2
NULL;4.8;8;10;2
NULL;0.6;8;11;2
NULL;2.3;8;12;2
NULL;1.9;8;13;2
NULL;7.7;8;14;2
NULL;2.3;8;15;2
NULL;0.7;8;16;2
NULL;3.6;8;17;2
NULL;0.2;8;18;2
NULL;0.4;8;19;2
NULL;15.3;8;20;2
NULL;1.4;8;21;2
NULL;0.2;8;22;2
NULL;4.6;8;23;2
NULL;6.7;8;24;2
NULL;8.2;8;25;2
NULL;1.5;8;26;2
NULL;4.2;8;27;2
NULL;3.3;8;28;2
NULL;1.2;8;29;2
NULL;7.9;8;30;2
NULL;0.2;8;31;2
NULL;1.4;8;32;2
NULL;6.7;8;33;2
NULL;0.1;8;34;2
NULL;6.8;8;35;2
NULL;10.1;8;36;2
NULL;0.1;8;37;2
NULL;2.5;8;38;2
NULL;8.3;8;39;2
NULL;-2.9;8;40;2
NULL;0.5;8;41;2
NULL;0.4;8;42;2
NULL;1.9;8;43;2
NULL;0.3;8;44;2
NULL;-0.8;8;45;2
NULL;-0.5;8;46;2
NULL;-1.8;8;47;2
NULL;-0.1;8;48;2
NULL;16.7;8;49;2
NULL;1;8;50;2
NULL;0.1;8;51;2
NULL;0.5;8;52;2
NULL;1.6;8;53;2
NULL;7;8;54;2
NULL;0.1;8;55;2
NULL;-1.2;8;56;2
NULL;3.9;8;57;2
NULL;1;8;58;2
NULL;-0.1;8;59;2
NULL;1.5;8;60;2
NULL;8.8;8;61;2
NULL;1.6;8;62;2
NULL;1.9;8;63;2
NULL;4.4;8;64;2
NULL;3.1;8;65;2
NULL;0.5;10;1;2
NULL;4.4;10;2;2
NULL;6.7;10;3;2
NULL;3.9;10;4;2
NULL;1.9;10;5;2
NULL;0.7;10;6;2
NULL;0.7;10;7;2
NULL;1.5;10;8;2
NULL;5.2;10;9;2
NULL;0.7;10;10;2
NULL;0.4;10;11;2
NULL;0;10;12;2
NULL;0.1;10;13;2
NULL;1.5;10;14;2
NULL;14.7;10;15;2
NULL;0.6;10;16;2
NULL;0.3;10;17;2
NULL;1.5;10;18;2
NULL;2.2;10;19;2
NULL;2;10;20;2
NULL;2.2;10;21;2
NULL;2.9;10;22;2
NULL;1.1;10;23;2
NULL;2.1;10;24;2
NULL;0.3;10;25;2
NULL;2;10;26;2
NULL;17.7;10;27;2
NULL;1;10;28;2
